Comment,positive,negative,neutral
Faster than lighter than google pay. Every indian should use only this india app for our nation development.,0.0,0.076,0.924
Very nice app,0.607,0.0,0.393
"Recently with new update most of the transactions are getting failed ,i have lost me tatkal train ticket due to failure ,phone pay please fix the issue ,the processing time has increased alot.",0.106,0.247,0.647
Good,1.0,0.0,0.0
Okay good,1.0,0.0,0.0
Very convenient for daily use,0.0,0.0,1.0
No cash back,0.0,0.524,0.476
Love this app,0.677,0.0,0.323
Good,1.0,0.0,0.0
Gud,0.0,0.0,1.0
My phone pay is not at all working,0.0,0.167,0.833
Very nice,0.756,0.0,0.244
Best,1.0,0.0,0.0
Good,1.0,0.0,0.0
Zero star for convenience fees,0.0,0.0,1.0
Suprr nice,0.737,0.0,0.263
Very nice ,0.756,0.0,0.244
I can't download and install this app.,0.0,0.0,1.0
Nice,1.0,0.0,0.0
Super o Super,1.0,0.0,0.0
Best app,0.808,0.0,0.192
Superb,1.0,0.0,0.0
Nice app,0.737,0.0,0.263
Good,1.0,0.0,0.0
Nyc,0.0,0.0,1.0
very good sevice,0.615,0.0,0.385
Best,1.0,0.0,0.0
Very usefull,0.0,0.0,1.0
Good app,0.744,0.0,0.256
Goood,0.0,0.0,1.0
Nice app,0.737,0.0,0.263
Very apt and secure,0.47,0.0,0.53
Good,1.0,0.0,0.0
Good and presious expereince,0.492,0.0,0.508
It showing only 2 transitions a day just update to make more transitions,0.0,0.0,1.0
Excellent,1.0,0.0,0.0
Piyush ko 5000 rupeej,0.0,0.0,1.0
This good,0.744,0.0,0.256
Worst App not given cash back in amount. Gives scratch card in which play rummy such type is open they lead to fall people to play rummy such worst thing. It's not good.,0.111,0.244,0.645
Ok,1.0,0.0,0.0
Great Indian App!,0.687,0.0,0.313
Ff,1.0,0.0,0.0
Exilent,0.0,0.0,1.0
Mere phone me download kyu nhi ho rha hai,0.0,0.0,1.0
Good app,0.744,0.0,0.256
Phonepay account is block how to unblock it,0.0,0.293,0.707
Very good,0.762,0.0,0.238
Very good,0.762,0.0,0.238
Good app...must dwnld this,0.492,0.0,0.508
